wn,ox,,,
defi,"defi(d,ud)",,,
ex,ex(x),,,
hyper,domain(sd),,,
hypo,collocation in example(cl_in_x),,,
mero,asee also(xr-xh),,,
holo,,,,
freq count,,,,
,,,,
,,,,
Defi-defi,,,,
literal,levenshtein,,,
,jaccard,,,
shallow syntatic,POS,,,
Wordnet-based,first,,,
,max syn,,,
LSA,,,,
,,,,
,,,,
,Levenshtein-jaccard_defi-defi,first_defi-defi,0.766,
,Levenshtein-jaccard_defi-defi,max syn_defi-defi,0.758,
,Levenshtein-jaccard_defi-defi-gloss-gloss,first_defi-defi,0.77,
,Levenshtein-jaccard_gloss-gloss,first_defi-defi,0.756,
,jaccard_gloss-gloss,first_defi-defi,0.757,
,jaccard_defi-defi-gloss-gloss,first_defi-defi,0.769,
,Levenshtein-jaccard_defi-defi-gloss-gloss,jaccard_POS,Levenshtein-jaccard_defi-defi-gloss-gloss,0.766
,Levenshtein-jaccard_defi-defi-gloss-gloss,first_defi-defi,0.775,
